UserId,Department/Region,Course/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,In person or online or both,With certification (Yes or No),New or long-standing,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),For public use or ILO staff only,year
USR-202506-0030,Region: Asia and the Pacific,"From Protocol to Practice: A Bridge to Global Action on Forced Labour 
(The Bridge Project-Phase II)     ",NPL 828,,"Orientations/training to freed-Haliya, Harawa-Charawa networks and?DHMS members to advocate for resources and improved access to public services",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0030,Region: Asia and the Pacific,"From Protocol to Practice: A Bridge to Global Action on Forced Labour 
(The Bridge Project-Phase II)  ",NPL 828,,Start and Improve Your Business (SYIB) to freed-Haliya and Harawa-Charawa,in-person,Yes,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0030,Region: Asia and the Pacific,A Systemic Approach to Strengthen Refugee and Host Community Livelihoods in Nepal,NPL 828,,Start and Improve Your Business (SYIB) to refugee and host community members together with support to start or expand their businesses,in-person,Yes,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0031,Region: Asia and the Pacific,Capacity building and prioritization workshop on National Employment Policy,,https://www.ilo.org/resource/news/tonga%E2%80%99s-first-ever-national-employment-policy-begins-take-shape,Tonga is developing its first-ever National Employment Policy. A capacity building workshop was organized to kick-off the process and provide capacity building on NEP. The workshop included a special session on "Promoting an inclusive labour market for youth".,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0032,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",Training on youth rights at work in Iraq,,,"Youth employment stakeholders in Iraq, including staff from university Career Development Centers (CDCs), representatives from trade unions, the Ministry of Labour and Social Affairs (MOLSA), the Directorate of Labour and Social Affairs (DOLSA), the Ministry of Youth and Sports (MOYS), and young professionals from both the Kurdistan Region of Iraq (KRI) and Federal Iraq were trained on youth rights at work.",in-person,No,New,extrabudgetary,Youth are one of the target groups,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",Job Search Clubs in Uganda ,,,Seven Job Search Clubs were implemented in the Isingiro district supporting 108 young people with job search skills and mentorship. 41% of the young people undergoing the two weeks Job Search Clubs were able to find employment at the end of the training.,in-person,No,New,extrabudgetary,Youth only,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Webinar on Skills for Green Jobs for the IYD in collaboration with UNDESA,GLO435,,Webinar on devent jobs for youth for the IYD in 2024,online,No,New,Regular Budget,Youth only,Public use,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Zimbabwe - NEP course CN and delivered the YE session at the NEP course,ZMB126,,YE session in the NEP youse for Zimbabwe,online,No,New,Regular Budget,Youth are one of the target groups,Public use,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0039,International Labour Standards,,,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,,2024
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,,2024
